LED_type,Sample_ID,Material,Dies,CCT,Ts,IF,Time,Flux
1,1,2,2,2700,56.8,100,0,100
1,1,2,2,2700,56.8,100,541,99.1
1,1,2,2,2700,56.8,100,1008,99.3
1,1,2,2,2700,56.8,100,1698,99.2
1,1,2,2,2700,56.8,100,2380,98.8
1,1,2,2,2700,56.8,100,3142,98.8
1,1,2,2,2700,56.8,100,3830,98.7
1,1,2,2,2700,56.8,100,4545,98.5
1,1,2,2,2700,56.8,100,5210,98.6
1,1,2,2,2700,56.8,100,6044,98.8
1,1,2,2,2700,56.8,100,6805,98.6
1,1,2,2,2700,56.8,100,7601,98.7
1,1,2,2,2700,56.8,100,8436,98.4
1,1,2,2,2700,56.8,100,9269,98.3
1,1,2,2,2700,56.8,100,10100,98.4
1,2,2,2,2700,56.8,100,0,100
1,2,2,2,2700,56.8,100,541,98.6
1,2,2,2,2700,56.8,100,1008,98.8
1,2,2,2,2700,56.8,100,1698,98.7
1,2,2,2,2700,56.8,100,2380,98.5
1,2,2,2,2700,56.8,100,3142,98.3
1,2,2,2,2700,56.8,100,3830,98.3
1,2,2,2,2700,56.8,100,4545,98.1
1,2,2,2,2700,56.8,100,5210,98.2
1,2,2,2,2700,56.8,100,6044,98.4
1,2,2,2,2700,56.8,100,6805,98.3
1,2,2,2,2700,56.8,100,7601,98.4
1,2,2,2,2700,56.8,100,8436,98.1
1,2,2,2,2700,56.8,100,9269,97.9
1,2,2,2,2700,56.8,100,10100,98.1
1,3,2,2,2700,56.8,100,0,100
1,3,2,2,2700,56.8,100,541,98.7
1,3,2,2,2700,56.8,100,1008,98.9
1,3,2,2,2700,56.8,100,1698,98.7
1,3,2,2,2700,56.8,100,2380,98.7
1,3,2,2,2700,56.8,100,3142,98.4
1,3,2,2,2700,56.8,100,3830,98.3
1,3,2,2,2700,56.8,100,4545,98.2
1,3,2,2,2700,56.8,100,5210,98.3
1,3,2,2,2700,56.8,100,6044,98.5
1,3,2,2,2700,56.8,100,6805,98.4
1,3,2,2,2700,56.8,100,7601,98.4
1,3,2,2,2700,56.8,100,8436,98.1
1,3,2,2,2700,56.8,100,9269,97.9
1,3,2,2,2700,56.8,100,10100,98.3
1,4,2,2,2700,56.8,100,0,100
1,4,2,2,2700,56.8,100,541,98.8
1,4,2,2,2700,56.8,100,1008,98.9
1,4,2,2,2700,56.8,100,1698,98.8
1,4,2,2,2700,56.8,100,2380,98.7
1,4,2,2,2700,56.8,100,3142,98.4
1,4,2,2,2700,56.8,100,3830,98.3
1,4,2,2,2700,56.8,100,4545,98.2
1,4,2,2,2700,56.8,100,5210,98.2
1,4,2,2,2700,56.8,100,6044,98.3
1,4,2,2,2700,56.8,100,6805,98.1
1,4,2,2,2700,56.8,100,7601,98.2
1,4,2,2,2700,56.8,100,8436,97.8
1,4,2,2,2700,56.8,100,9269,97.4
1,4,2,2,2700,56.8,100,10100,97.9
1,5,2,2,2700,56.8,100,0,100
1,5,2,2,2700,56.8,100,541,98.8
1,5,2,2,2700,56.8,100,1008,98.9
1,5,2,2,2700,56.8,100,1698,98.8
1,5,2,2,2700,56.8,100,2380,98.8
1,5,2,2,2700,56.8,100,3142,98.5
1,5,2,2,2700,56.8,100,3830,98.4
1,5,2,2,2700,56.8,100,4545,98.5
1,5,2,2,2700,56.8,100,5210,98.5
1,5,2,2,2700,56.8,100,6044,98.5
