Test_ID,Sample_ID,Time,Flux_t,DeltaColor_t
1,1,0,1,0
1,1,23,0.98167,0.001428357
1,1,46,0.94058,0.002822649
1,1,69,0.96529,0.003072259
1,1,92,0.94341,0.004242833
1,1,115,0.90003,0.004376421
1,1,138,0.9343,0.004556807
1,1,161,0.92701,0.004424145
1,1,184,0.92348,0.004871072
1,1,207,0.91534,0.005409006
1,1,230,0.91594,0.005460526
1,1,253,0.90632,0.005552753
1,1,276,0.89566,0.005830969
1,1,299,0.89489,0.005830969
1,1,322,0.8966,0.005666839
1,1,345,0.89103,0.00607714
1,1,368,0.85766,0.006487696
1,1,391,0.88589,0.006393316
1,1,414,0.88017,0.006487696
1,1,437,0.87885,0.006455578
1,1,460,0.87703,0.006108676
1,1,483,0.87362,0.006645744
1,1,506,0.86713,0.006711626
1,1,529,0.86745,0.006683577
1,1,552,0.86617,0.007123517
1,1,575,0.85861,0.00690343
1,1,598,0.85917,0.00690343
1,1,621,0.85482,0.00663165
1,1,644,0.85089,0.006656913
1,1,667,0.84324,0.007411588
1,1,690,0.78832,0.007155332
1,1,713,0.77506,0.007506868
1,1,736,0.77868,0.007446489
1,1,759,0.77576,0.007239489
1,1,782,0.77145,0.00706421
1,1,805,0.77096,0.00714944
1,1,828,0.75886,0.007196839
1,1,851,0.7668,0.00674983
1,1,874,0.73296,0.007463066
1,1,897,0.75399,0.007868122
1,1,920,0.75527,0.007373034
1,1,943,0.74825,0.007015915
1,1,966,0.75269,0.007239489
1,1,989,0.73014,0.007287675
1,1,1012,0.75262,0.007155332
1,1,1035,0.73137,0.00706421
1,1,1058,0.74295,0.006798379
1,1,1081,0.74504,0.007193761
1,1,1104,0.73299,0.0073741
1,1,1127,0.73781,0.007556751
1,1,1150,0.73866,0.007373034
1,1,1173,0.72567,0.006970155
1,1,1196,0.72691,0.007015609
1,1,1219,0.71746,0.00710454
1,1,1242,0.71658,0.007285714
1,1,1265,0.71937,0.006210146
1,1,1288,0.71219,0.006657342
1,1,1311,0.70325,0.007015609
