Test_ID,Sample_ID,Ts,IF,Time,Flux_t
1,1,55,0.5,0,1
1,2,55,0.5,0,1
1,3,55,0.5,0,1
1,4,55,0.5,0,1
1,5,55,0.5,0,1
1,6,55,0.5,0,1
1,7,55,0.5,0,1
1,8,55,0.5,0,1
1,9,55,0.5,0,1
1,10,55,0.5,0,1
1,11,55,0.5,0,1
1,12,55,0.5,0,1
1,13,55,0.5,0,1
1,14,55,0.5,0,1
1,15,55,0.5,0,1
1,16,55,0.5,0,1
1,17,55,0.5,0,1
1,18,55,0.5,0,1
1,19,55,0.5,0,1
1,20,55,0.5,0,1
1,1,55,0.5,168,0.9894
1,2,55,0.5,168,0.9971
1,3,55,0.5,168,0.9828
1,4,55,0.5,168,0.9876
1,5,55,0.5,168,0.9875
1,6,55,0.5,168,0.9951
1,7,55,0.5,168,1.0037
1,8,55,0.5,168,0.9849
1,9,55,0.5,168,0.9926
1,10,55,0.5,168,0.9892
1,11,55,0.5,168,0.986
1,12,55,0.5,168,1.0036
1,13,55,0.5,168,0.9876
1,14,55,0.5,168,0.9868
1,15,55,0.5,168,0.9858
1,16,55,0.5,168,0.9957
1,17,55,0.5,168,0.9867
1,18,55,0.5,168,0.9811
1,19,55,0.5,168,1.0004
1,20,55,0.5,168,0.9813
1,1,55,0.5,1008,0.9806
1,2,55,0.5,1008,1.0003
1,3,55,0.5,1008,0.9818
1,4,55,0.5,1008,0.9879
1,5,55,0.5,1008,0.984
1,6,55,0.5,1008,0.9956
1,7,55,0.5,1008,1.0037
1,8,55,0.5,1008,0.9843
1,9,55,0.5,1008,0.9956
1,10,55,0.5,1008,0.9843
1,11,55,0.5,1008,0.985
1,12,55,0.5,1008,0.9935
1,13,55,0.5,1008,0.9885
1,14,55,0.5,1008,0.9901
1,15,55,0.5,1008,0.9852
1,16,55,0.5,1008,0.9979
1,17,55,0.5,1008,0.9859
1,18,55,0.5,1008,0.9842
1,19,55,0.5,1008,1.0008
1,20,55,0.5,1008,0.9821
1,1,55,0.5,1512,0.9817
1,2,55,0.5,1512,0.9947
1,3,55,0.5,1512,0.9778
1,4,55,0.5,1512,0.9849
1,5,55,0.5,1512,0.9893
1,6,55,0.5,1512,0.9935
1,7,55,0.5,1512,0.9846
1,8,55,0.5,1512,0.9872
1,9,55,0.5,1512,0.9902
1,10,55,0.5,1512,0.9825
1,11,55,0.5,1512,0.9812
1,12,55,0.5,1512,0.9967
1,13,55,0.5,1512,0.9842
1,14,55,0.5,1512,0.9794
1,15,55,0.5,1512,0.985
1,16,55,0.5,1512,0.9909
1,17,55,0.5,1512,0.9837
1,18,55,0.5,1512,0.9824
1,19,55,0.5,1512,0.9988
1,20,55,0.5,1512,0.9834
1,1,55,0.5,2016,0.9802
1,2,55,0.5,2016,0.9937
1,3,55,0.5,2016,0.975
1,4,55,0.5,2016,0.9796
1,5,55,0.5,2016,0.982
1,6,55,0.5,2016,0.9911
1,7,55,0.5,2016,0.9975
1,8,55,0.5,2016,0.9722
1,9,55,0.5,2016,0.9918
1,10,55,0.5,2016,0.978
1,11,55,0.5,2016,0.9832
1,12,55,0.5,2016,0.9928
1,13,55,0.5,2016,0.9885
1,14,55,0.5,2016,0.9853
1,15,55,0.5,2016,0.9774
1,16,55,0.5,2016,0.9958
1,17,55,0.5,2016,0.9873
1,18,55,0.5,2016,0.9757
1,19,55,0.5,2016,0.9994
1,20,55,0.5,2016,0.9799
1,1,55,0.5,2520,0.9733
1,2,55,0.5,2520,0.9888
1,3,55,0.5,2520,0.9702
1,4,55,0.5,2520,0.9767
1,5,55,0.5,2520,0.974
1,6,55,0.5,2520,0.9813
1,7,55,0.5,2520,0.9858
1,8,55,0.5,2520,0.9728
1,9,55,0.5,2520,0.9863
1,10,55,0.5,2520,0.977
1,11,55,0.5,2520,0.9757
1,12,55,0.5,2520,0.9888
1,13,55,0.5,2520,0.9785
1,14,55,0.5,2520,0.9795
1,15,55,0.5,2520,0.9714
1,16,55,0.5,2520,0.9814
1,17,55,0.5,2520,0.9761
1,18,55,0.5,2520,0.9707
1,19,55,0.5,2520,0.992
1,20,55,0.5,2520,0.9722
1,1,55,0.5,3024,0.975
1,2,55,0.5,3024,0.983
1,3,55,0.5,3024,0.9709
1,4,55,0.5,3024,0.9695
1,5,55,0.5,3024,0.9693
1,6,55,0.5,3024,0.9732
1,7,55,0.5,3024,0.9787
1,8,55,0.5,3024,0.9683
1,9,55,0.5,3024,0.985
1,10,55,0.5,3024,0.9764
1,11,55,0.5,3024,0.9738
1,12,55,0.5,3024,0.9861
1,13,55,0.5,3024,0.979
1,14,55,0.5,3024,0.9794
1,15,55,0.5,3024,0.9718
1,16,55,0.5,3024,0.9782
1,17,55,0.5,3024,0.9754
1,18,55,0.5,3024,0.9715
1,19,55,0.5,3024,0.9905
1,20,55,0.5,3024,0.9722
1,1,55,0.5,3528,0.969
1,2,55,0.5,3528,0.9798
1,3,55,0.5,3528,0.9671
1,4,55,0.5,3528,0.969
1,5,55,0.5,3528,0.9699
1,6,55,0.5,3528,0.9716
1,7,55,0.5,3528,0.9722
