Test_ID,Sample_ID,Ts,IF,Vf_0,Flux_0,Time,Flux_t
1,1,55,700,3.259,258.1,0,100
1,2,55,700,3.203,253.3,0,100
1,3,55,700,3.25,262.3,0,100
1,4,55,700,3.208,254.2,0,100
1,5,55,700,3.144,251.7,0,100
1,6,55,700,3.199,252.8,0,100
1,7,55,700,3.233,248.7,0,100
1,8,55,700,3.186,249.5,0,100
1,9,55,700,3.244,253.9,0,100
1,10,55,700,3.244,253.4,0,100
1,11,55,700,3.208,249.5,0,100
1,12,55,700,3.209,248.5,0,100
1,13,55,700,3.179,252.2,0,100
1,14,55,700,3.219,250.2,0,100
1,15,55,700,3.21,258.7,0,100
1,16,55,700,3.202,255.5,0,100
1,17,55,700,3.211,252.8,0,100
1,18,55,700,3.223,244.9,0,100
1,19,55,700,3.228,247,0,100
1,20,55,700,3.161,250,0,100
1,21,55,700,3.186,251.1,0,100
1,22,55,700,3.219,250.4,0,100
1,23,55,700,3.233,246.7,0,100
1,24,55,700,3.21,252.3,0,100
1,25,55,700,3.233,251.5,0,100
1,1,55,700,3.259,258.1,1000,99.93
1,2,55,700,3.203,253.3,1000,100.16
1,3,55,700,3.25,262.3,1000,100.05
1,4,55,700,3.208,254.2,1000,100.48
1,5,55,700,3.144,251.7,1000,99.76
1,6,55,700,3.199,252.8,1000,100.08
1,7,55,700,3.233,248.7,1000,99.47
1,8,55,700,3.186,249.5,1000,99.63
1,9,55,700,3.244,253.9,1000,99.88
1,10,55,700,3.244,253.4,1000,100.04
1,11,55,700,3.208,249.5,1000,100.04
1,12,55,700,3.209,248.5,1000,99.63
1,13,55,700,3.179,252.2,1000,99.64
1,14,55,700,3.219,250.2,1000,99.64
1,15,55,700,3.21,258.7,1000,100.05
1,16,55,700,3.202,255.5,1000,99.96
1,17,55,700,3.211,252.8,1000,99.41
1,18,55,700,3.223,244.9,1000,100.07
1,19,55,700,3.228,247,1000,100.4
1,20,55,700,3.161,250,1000,99.72
1,21,55,700,3.186,251.1,1000,99.52
1,22,55,700,3.219,250.4,1000,99.84
1,23,55,700,3.233,246.7,1000,100.36
1,24,55,700,3.21,252.3,1000,100.08
1,25,55,700,3.233,251.5,1000,100.48
1,1,55,700,3.259,258.1,2000,99.39
1,2,55,700,3.203,253.3,2000,99.74
1,3,55,700,3.25,262.3,2000,99.51
1,4,55,700,3.208,254.2,2000,99.9
1,5,55,700,3.144,251.7,2000,99.06
1,6,55,700,3.199,252.8,2000,99.54
1,7,55,700,3.233,248.7,2000,98.97
1,8,55,700,3.186,249.5,2000,99.18
1,9,55,700,3.244,253.9,2000,99.38
